"","COD_DPTO","COD_MUNIC","MUNICIPIO","tasa_nat","tasa_def","tasa_vio","tasa_bps","tot"
"1","05","001","MEDELLIN",13.6676579781134,9.95506001479037,329.42639998445,127.451259427921,2572350
"2","05","002","ABEJORRAL",2.32128476005495,0,104.220948410631,81.6326530612245,21109
"3","05","004","ABRIAQUI",1.06990014265335,333.333333333333,0,0,2804
"4","05","021","ALEJANDRIA",0.820681165367255,0,307.755437012721,0,4874
"5","05","030","AMAGA",0.439546639038021,0,182.097893315751,153.846153846154,31851
"6","05","031","AMALFI",3.32141032192131,10.989010989011,51.0986203372509,120.879120879121,27398
"7","05","034","ANDES",2.90787328721858,7.57575757575758,156.408335903423,83.3333333333333,45394
"8","05","036","ANGELOPOLIS",0.166389351081531,0,349.417637271215,0,6010
"9","05","038","ANGOSTURA",1.59543202619867,0,109.161138634646,52.6315789473684,11909
"10","05","040","ANORI",4.39299188588558,11.7647058823529,139.542095198718,35.7142857142857,19349
"11","05","042","SANTAFE DE ANTIOQUIA",43.0859544861574,2.52312867956266,231.917669227424,36.1952861952862,27596
"12","05","044","ANZA",0.136221223266585,0,54.488489306634,0,7341
"13","05","045","APARTADO",29.7497001818252,6.50195058517555,156.292313048861,114.293152824785,129245
"14","05","051","ARBOLETES",3.90848427073403,8.13008130081301,38.1315538608198,49.5867768595041,31470
"15","05","055","ARGELIA",1.64494495761103,0,113.880804757687,0,7903
"16","05","059","ARMENIA",0.376364320662401,0,150.54572826496,0,5314
"17","05","079","BARBOSA",0.888695431380017,0,237.590003083229,122.448979591837,55137
"18","05","086","BELMIRA",2.54210359072132,0,0,62.5,6294
"19","05","088","BELLO",0.1005257857616,71.4285714285714,339.274526945398,181.818181818182,557071
"20","05","091","BETANIA",1.39951483485725,0,242.582571375257,66.6666666666667,10718
"21","05","093","BETULIA",3.18627450980392,38.4615384615385,128.676470588235,115.384615384615,16320
"22","05","101","CIUDAD BOLIVAR",22.7331154284035,3.23101777059774,47.7432149546439,81.0372771474878,27229
"23","05","107","BRICEÑO",3.45690785552509,0,83.4426034092264,68.9655172413793,8389
"24","05","113","BURITICA",2.74139506548888,37.037037037037,71.0732054015636,37.037037037037,9849
"25","05","120","CACERES",1.33803276548528,0,35.8984400496051,48.780487804878,30642
"26","05","125","CAICEDO",1.83339062679042,0,57.2934570872006,62.5,8727
"27","05","129","CALDAS",9.02742493885219,0,189.056019661826,43.1937172774869,84631
"28","05","134","CAMPAMENTO",1.87754250547617,0,62.5847501825389,55.5555555555556,9587
"29","05","138","CAÑASGORDAS",2.17431819593713,28.5714285714286,99.3974032428403,58.8235294117647,16097
"30","05","142","CARACOLI",1.68634064080944,0,21.079258010118,125,4744
"31","05","145","CARAMANTA",2.25919079893202,0,143.766687204765,90.9090909090909,4869
"32","05","147","CAREPA",2.70807356608479,7.19424460431655,130.533042394015,32,51328
"33","05","148","EL CARMEN DE VIBORAL",0.300713799597993,0,80.717914628935,166.666666666667,63183
"34","05","150","CAROLINA",0.962927298988926,0,72.2195474241695,0,4154
"35","05","154","CAUCASIA",40.1568415359654,7.51100751100751,160.16973832009,72.8167919150039,96148
"36","05","172","CHIGORODO",33.0496152652301,10.8749382105783,86.5857443923478,96.2888665997994,61211
"37","05","190","CISNEROS",3.12103774505023,0,195.064859065639,0,10253
"38","05","197","COCORNA",1.17276711314116,52.6315789473684,80.2419603728165,105.263157894737,16201
"39","05","206","CONCEPCION",0.80563947633434,0,140.98690835851,0,4965
"40","05","209","CONCORDIA",2.2369362920544,0,129.742304939155,40,22352
"41","05","212","COPACABANA",0.241601333639362,50,302.001667049202,0,82781
"42","05","234","DABEIBA",6.33068520357498,26.1437908496732,49.6524329692155,91.743119266055,24168
"43","05","237","DONMATIAS",2.1978021978022,22.7272727272727,0,45.4545454545455,20020
"44","05","240","EBEJICO",0.714002380007933,0,39.6667988893296,111.111111111111,12605
"45","05","250","EL BAGRE",4.58790166717844,11.8110236220472,74.0566804544551,36.2903225806452,55363
"46","05","264","ENTRERRIOS",1.26337067295545,0,160.02695190769,66.6666666666667,11873
"47","05","266","ENVIGADO",12.7524694088162,3.85356454720617,146.608350942716,105.821807655195,244188
"48","05","282","FREDONIA",1.40949845346697,0,58.7291022277906,57.1428571428571,25541
"49","05","284","FRONTINO",6.31823461091754,14.7058823529412,60.3948896631823,160,21525
"50","05","306","GIRALDO",1.70735871606625,0,85.3679358033123,100,5857
"51","05","308","GIRARDOTA",0.381915396646419,0,258.247553922817,0,54986
"52","05","310","GOMEZ PLATA",2.54278728606357,0,9.7799511002445,38.4615384615385,10225
"53","05","313","GRANADA",0.661188249740247,0,141.68319637291,142.857142857143,10587
"54","05","315","GUADALUPE",1.16618075801749,0,43.731778425656,0,6860
"55","05","318","GUARNE",0.42578557438474,40,166.907945158818,41.6666666666667,58715
"56","05","321","GUATAPE",1.46693748589483,0,22.5682690137666,76.9230769230769,8862
"57","05","347","HELICONIA",0,NA,70.97232079489,NA,5636
"58","05","353","HISPANIA",0.870776732845698,0,261.233019853709,0,5742
"59","05","360","ITAGUI",0.16987850289473,0,248.022614226305,0,294328
"60","05","361","ITUANGO",3.69809460078188,9.52380952380953,24.6539640052126,40.8163265306122,28393
"61","05","364","JARDIN",4.12925214655568,0,104.869895785541,31.7460317460317,15257
"62","05","368","JERICO",1.82956864400816,0,302.582506509042,38.4615384615385,14211
"63","05","376","LA CEJA",12.976503569261,2.2271714922049,104.043235744632,38.9755011135858,69202
"64","05","380","LA ESTRELLA",0.0131077060203694,1000,242.492561376833,0,76291
